MSGTYPE,ORDERID,SENDINGTIME,CLIENTID,SYMBOL,SIDE,ORDQTY,PRICE,ROUTE,MAX_PARTICIPATION_RATE,AUCTION_ENABLED,DISABLE_OFF_EXCHANGE,START_TIME,END_TIME,STYLE,EXTENDED_REPORTING,IWOULD_PRICE,CUMQTY,TAG0,TAG6,TAG20,TAG3,SNP_INSIDE_BID,SNP_INSIDE_ASK,TAG4,TAG5,TAG7,TAG8,TRANSACTTIME,TRADE_STRATEGY,EXPERT_IWOULD_LIMIT_PRICE,AUTOTRADER_ELIGIBLE,EXPERT_MAX_DARK_EXPOSURE,PCT_VOLUME_CONSTRAINT,INCLUDE_CLOSE,MINQTY,AUCTION_TYPE,EXPERT_CLIPSIZE_SCALE,EXPERT_FLOATING_LIMIT_VALUE_BPS,FLOATING_LIMIT,RISK_ACCEPTANCE_PARAMETER,URGENCY,SNP_VOLUME_OE,SNP_TRADE_COUNT_OE,SNP_LAST_TRADE_SIZE_OE,SNP_LAST_TRADE_PRICE_OE,SNP_INSIDE_BID_SIZE,SNP_INSIDE_ASK_SIZE,SNP_HIGH
"ROUTE_INFO","2150916006573438","2015-09-17 11:28:04.758 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.33275 Liquidity:LIQUID QteSz:[50th=7,386]","355632","","","","","Limit Price: 5.19500  Lim Px Text: ClientLim: 5.195   Quote trigger: 0.0   DarkLim: ClientLim: 5.195 AucState:COMPLETEAucType:OPEN ValidQuote:Y Cons:Y","E6","","","","COBRA","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:28:34.760 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.34535 Liquidity:LIQUID QteSz:[50th=7,386]","","","","","","",""," IWouldDest(100.00%) 13,618 of 840053 . Average px: 5.1950","","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:29:04.763 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.36046 Liquidity:LIQUID QteSz:[50th=7,386]","355632","","","","","Limit Price: 5.19500  Lim Px Text: ClientLim: 5.195   Quote trigger: 0.0   DarkLim: ClientLim: 5.195 AucState:COMPLETEAucType:OPEN ValidQuote:Y Cons:Y","E6","","","","COBRA","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:29:34.765 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.37455 Liquidity:LIQUID QteSz:[50th=7,386]","","","","","","",""," IWouldDest(100.00%) 13,618 of 840053 . Average px: 5.1950","","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:30:04.767 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.38914 Liquidity:LIQUID QteSz:[50th=7,386]","355632","","","","","Limit Price: 5.19500  Lim Px Text: ClientLim: 5.195   Quote trigger: 0.0   DarkLim: ClientLim: 5.195 AucState:COMPLETEAucType:OPEN ValidQuote:Y Cons:Y","E6","","","","COBRA","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:30:34.769 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.40320 Liquidity:LIQUID QteSz:[50th=7,386]","","","","","","",""," IWouldDest(100.00%) 13,618 of 840053 . Average px: 5.1950","","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:31:04.775 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.41773 Liquidity:LIQUID QteSz:[50th=7,386]","355632","","","","","Limit Price: 5.19500  Lim Px Text: ClientLim: 5.195   Quote trigger: 0.0   DarkLim: ClientLim: 5.195 AucState:COMPLETEAucType:OPEN ValidQuote:Y Cons:Y","E6","","","","COBRA","","","","","","","","","","","","","","","","","","",""
"ROUTE_REPLACE","2150916006573438","2015-09-17 11:31:29.137 LON","","","","","5.215","","","","","","","SUPER","","","","","","","","5.214","5.215","","","","","","","","","","","","","","","","","","","13556824","8382","200","5.214","9184","15809","5.216"
"ROUTE_REPLACE_ACK","2150916006573438","2015-09-17 11:31:29.146 LON","HM49","","","","5.215","","","","","","","SUPER-AGGRESSIVE","","","","","","","","","","","","","","2015-09-17 11:31:29.144 LON","","","","0.00","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:31:29.151 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.43422 Liquidity:LIQUID QteSz:[50th=7,386]","355632","","","","","Limit Price: 5.19500  Lim Px Text: ClientLim: 5.195   Quote trigger: 0.0   DarkLim: ClientLim: 5.195 AucState:COMPLETEAucType:OPEN ValidQuote:Y Cons:Y","E6"," IWouldDest(100.00%) 13,618 of 840053 . Average px: 5.1950","","","COBRA","","","","","","","","","","","","","","","","","","",""
